URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://dicom.nema.org/resources/ontology/DCM,01,active,"1.2.840.10008.2.16.4",DICOM Controlled Terminology Definitions,null,"DICOM Code Definitions (Coding Scheme Designator ""DCM"" Coding Scheme Version ""01"")","ValueSet/security-role-type"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/appointmentstatus,4.0.1,draft,"2.16.840.1.113883.4.642.4.485",AppointmentStatus,AppointmentStatus,"The free/busy status of an appointment.","ValueSet/appointmentstatus"
http://hl7.org/fhir/composition-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.242",CompositionStatus,CompositionStatus,"The workflow/clinical status of the composition.","ValueSet/composition-status"
http://hl7.org/fhir/consent-data-meaning,4.0.1,draft,"2.16.840.1.113883.4.642.4.760",ConsentDataMeaning,ConsentDataMeaning,"How a resource reference is interpreted when testing consent restrictions.","ValueSet/consent-data-meaning"
http://hl7.org/fhir/consent-provision-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.758",ConsentProvisionType,ConsentProvisionType,"How a rule statement is applied, such as adding additional consent or removing consent.","ValueSet/consent-provision-type"
http://hl7.org/fhir/consent-state-codes,4.0.1,draft,"2.16.840.1.113883.4.642.4.756",ConsentState,ConsentState,"Indicates the state of the consent.","ValueSet/consent-state-codes"
http://hl7.org/fhir/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.4.72",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","ValueSet/contact-point-system"
http://hl7.org/fhir/contact-point-use,4.0.1,active,"2.16.840.1.113883.4.642.4.74",ContactPointUse,ContactPointUse,"Use of contact point.","ValueSet/contact-point-use"
http://hl7.org/fhir/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.4.513",DaysOfWeek,DaysOfWeek,"The days of the week.","ValueSet/days-of-week"
http://hl7.org/fhir/document-reference-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.8",DocumentReferenceStatus,DocumentReferenceStatus,"The status of the document reference.","ValueSet/document-reference-status"
http://hl7.org/fhir/document-relationship-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.245",DocumentRelationshipType,DocumentRelationshipType,"The type of relationship between documents.","ValueSet/document-relationship-type"
http://hl7.org/fhir/encounter-location-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.263",EncounterLocationStatus,EncounterLocationStatus,"The status of the location.","ValueSet/encounter-location-status"
http://hl7.org/fhir/encounter-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.247",EncounterStatus,EncounterStatus,"Current state of the encounter.","ValueSet/encounter-status"
http://hl7.org/fhir/endpoint-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.495",EndpointStatus,EndpointStatus,"The status of the endpoint.","ValueSet/endpoint-status"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/link-type,4.0.1,active,"2.16.840.1.113883.4.642.4.424",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","ValueSet/link-type"
http://hl7.org/fhir/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.4.401",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/organization-role,4.0.1,draft,"2.16.840.1.113883.4.642.4.881",OrganizationAffiliationRole,Organization Affiliation Role,"This example value set defines a set of codes that can be used to indicate the role of one Organization in relation to another.","ValueSet/organization-role"
http://hl7.org/fhir/participantrequired,4.0.1,draft,"2.16.840.1.113883.4.642.4.489",ParticipantRequired,ParticipantRequired,"Is the Participant required to attend the appointment.","ValueSet/participantrequired"
http://hl7.org/fhir/participationstatus,4.0.1,draft,"2.16.840.1.113883.4.642.4.487",ParticipationStatus,ParticipationStatus,"The Participation status of an appointment.","ValueSet/participationstatus"
http://hl7.org/fhir/request-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.114",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","ValueSet/request-intent"
http://hl7.org/fhir/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.4.116",RequestPriority,RequestPriority,"Identifies the level of importance to be assigned to actioning the request.","ValueSet/request-priority"
http://hl7.org/fhir/request-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.112",RequestStatus,RequestStatus,"Codes identifying the lifecycle stage of a request.","ValueSet/request-status"
http://hl7.org/fhir/resource-types,4.0.1,active,,ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","ValueSet/consent-content-class,ValueSet/resource-types"
http://hl7.org/fhir/slotstatus,4.0.1,draft,"2.16.840.1.113883.4.642.4.483",SlotStatus,SlotStatus,"The free/busy status of the slot.","ValueSet/slotstatus"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/c80-doc-typecodes,ValueSet/observation-codes,ValueSet/document-classcodes,ValueSet/consent-content-code,ValueSet/consent-category"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/servicerequest-category,ValueSet/NHSDigital-CareSettingType,ValueSet/c80-facilitycodes,ValueSet/referencerange-appliesto,ValueSet/encounter-reason,ValueSet/c80-practice-codes,ValueSet/participant-role,ValueSet/procedure-reason,ValueSet/practitioner-role,ValueSet/observation-methods,ValueSet/body-site,ValueSet/servicerequest-orderdetail,ValueSet/procedure-code,ValueSet/medication-as-needed-reason"
http://terminology.hl7.org/CodeSystem/admit-source,0.1.0,draft,"2.16.840.1.113883.4.642.1.1092",AdmitSource,Admit source,"This value set defines a set of codes that can be used to indicate from where the patient came in.","ValueSet/encounter-admit-source"
http://terminology.hl7.org/CodeSystem/appointment-cancellation-reason,1.0.0,draft,"2.16.840.1.113883.4.642.1.1382",AppointmentCancellationReason,Appointment cancellation reason,"This example value set defines a set of reasons for the cancellation of an appointment.","ValueSet/appointment-cancellation-reason"
http://terminology.hl7.org/CodeSystem/consentaction,0.1.0,draft,"2.16.840.1.113883.4.642.1.1227",ConsentActionCodes,Consent Action Codes,"This value set includes sample Consent Action codes.","ValueSet/consent-action"
