Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-uk.nhs.england.skunkworks.json	13625	-	0	0	0	0	0	0	4	94	0	0	0	0	0	0	0	1	0	0	228	294	0	0	0	0	3	0	1
fsh-generated/resources/CapabilityStatement-IHE.PCF.consentAuthorizationServer.json	6093	9	1	0	0	1	0	0	0	32	0	0	0	0	0	0	0	0	0	0	76	131	0	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-NHS-England-APIM-Provider.json	40591	51	0	0	0	0	0	0	1	80	0	0	0	0	0	0	0	0	0	0	427	147	0	0	0	0	3	0	1
fsh-generated/resources/CapabilityStatement-UKCoreAccessPatientIndexProvider.json	5924	9	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	70	99	0	0	0	0	1	0	0
fsh-generated/resources/RelatedPerson-RelatedPerson-NHS-91000000009.json	942	4	0	0	0	0	0	0	0	1853	0	0	0	0	0	0	0	0	0	0	28	61	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Appointment.json	1118	5	0	0	0	0	0	132	0	136	0	0	0	0	0	0	0	1	0	0	380	2893	0	0	0	1	4	0	1
fsh-generated/resources/StructureDefinition-DocumentReference.json	1405	5	0	0	0	0	0	140	0	134	0	0	0	0	0	0	0	1	0	0	512	894	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-Endpoint.json	765	3	0	0	0	0	0	60	0	65	0	0	0	0	0	0	0	0	0	0	208	705	0	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-HealthcareService.json	837	4	1	0	0	0	0	134	0	111	0	0	0	0	0	0	0	0	0	0	434	745	0	0	0	0	4	0	2
fsh-generated/resources/StructureDefinition-IHEPCF-Basic-Consent.json	3228	8	0	0	0	0	0	202	0	252	0	0	0	0	0	0	0	1	0	0	692	1074	0	0	0	0	6	0	0
